token,coefficient,absolute_coefficient
worst,-4.951724757641459,4.951724757641459
awful,-4.242988003162521,4.242988003162521
waste,-3.7337136452152553,3.7337136452152553
bad,-3.7066836797410474,3.7066836797410474
excellent,3.5431059309880855,3.5431059309880855
boring,-3.499844046582184,3.499844046582184
disappointment,-3.458289490928857,3.458289490928857
great,3.4546824282464486,3.4546824282464486
perfect,3.3100426829538496,3.3100426829538496
terrible,-3.193783990038712,3.193783990038712
fails,-3.162057959151102,3.162057959151102
forgettable,-3.0005830235335296,3.0005830235335296
mediocre,-2.952451855224803,2.952451855224803
poor,-2.9449800759795535,2.9449800759795535
disappointing,-2.9284989858783024,2.9284989858783024
best,2.9009542047577286,2.9009542047577286
dull,-2.8988420338907726,2.8988420338907726
poorly,-2.849708098272549,2.849708098272549
horrible,-2.7462871362472923,2.7462871362472923
worse,-2.628482221539773,2.628482221539773
amazing,2.574699137654006,2.574699137654006
lame,-2.5592356264838747,2.5592356264838747
lacks,-2.5470241751295677,2.5470241751295677
refreshing,2.5439325631794927,2.5439325631794927
brilliant,2.524410834370247,2.524410834370247
wonderful,2.4866604676526505,2.4866604676526505
enjoyable,2.4705183501401224,2.4705183501401224
redeeming,-2.4634256317042222,2.4634256317042222
weak,-2.413789447915463,2.413789447915463
save,-2.410634935002539,2.410634935002539
favorite,2.403043553025826,2.403043553025826
today,2.3929646497945054,2.3929646497945054
laughable,-2.376666289813888,2.376666289813888
bland,-2.3735456598354974,2.3735456598354974
annoying,-2.36382772368865,2.36382772368865
sorry,-2.285120908657967,2.285120908657967
lousy,-2.2824447312845435,2.2824447312845435
loved,2.266349619873554,2.266349619873554
hilarious,2.2449447854177325,2.2449447854177325
funniest,2.2440399511192255,2.2440399511192255
gem,2.241026123818332,2.241026123818332
fun,2.221664988893328,2.221664988893328
ridiculous,-2.2032180989409675,2.2032180989409675
superb,2.2005583425991624,2.2005583425991624
unfortunately,-2.1913586697655068,2.1913586697655068
mess,-2.1810865322408364,2.1810865322408364
enjoyed,2.166769073412819,2.166769073412819
supposed,-2.1665983506989956,2.1665983506989956
minutes,-2.1475467956446317,2.1475467956446317
wonderfully,2.137651965525886,2.137651965525886
mst,-2.1238548318145973,2.1238548318145973
uninteresting,-2.119089488071889,2.119089488071889
underrated,2.118351052559197,2.118351052559197
stupid,-2.117065577993144,2.117065577993144
waste time,-2.092544817055804,2.092544817055804
uninspired,-2.0888726527050627,2.0888726527050627
instead,-2.085677802324491,2.085677802324491
entertaining,2.074115337637717,2.074115337637717
subtle,2.0658308195798014,2.0658308195798014
mildly,-2.025674007791899,2.025674007791899
avoid,-2.0094036428409345,2.0094036428409345
surprised,2.0054057577192164,2.0054057577192164
perfectly,2.0017281857947054,2.0017281857947054
pretentious,-1.9827986156255877,1.9827986156255877
pointless,-1.9788691711062136,1.9788691711062136
fantastic,1.9778349570552345,1.9778349570552345
incredible,1.9709342883684988,1.9709342883684988
unfunny,-1.9670293745221437,1.9670293745221437
dreadful,-1.958516979582863,1.958516979582863
unless,-1.946107758846311,1.946107758846311
flawless,1.9367095805142245,1.9367095805142245
badly,-1.9358131602996163,1.9358131602996163
rare,1.9047709692536419,1.9047709692536419
beautifully,1.9036248958257125,1.9036248958257125
pathetic,-1.900867570874837,1.900867570874837
wasted,-1.8884188010256446,1.8884188010256446
lacking,-1.885267436656859,1.885267436656859
strong,1.8764598543328774,1.8764598543328774
highly recommend,1.8753290823922053,1.8753290823922053
predictable,-1.8519501030669747,1.8519501030669747
complaint,1.8460509361865545,1.8460509361865545
stinker,-1.8379123686229033,1.8379123686229033
want good,-1.8340409209256578,1.8340409209256578
just didn,-1.8299090108288893,1.8299090108288893
awesome,1.8203839764612906,1.8203839764612906
hoping,-1.8155096236282096,1.8155096236282096
sucks,-1.8132426145389118,1.8132426145389118
dvd,1.811224480707418,1.811224480707418
tedious,-1.8004030538784481,1.8004030538784481
wooden,-1.7977065647206394,1.7977065647206394
just isn,-1.796295062163732,1.796295062163732
makes,1.791978144631667,1.791978144631667
powerful,1.790792990981655,1.790792990981655
letdown,-1.7843276214600623,1.7843276214600623
unwatchable,-1.774520028776792,1.774520028776792
bad thing,1.7683429339826506,1.7683429339826506
useless,-1.752632493301958,1.752632493301958
finest,1.7480775294085114,1.7480775294085114
amateurish,-1.7471363225538354,1.7471363225538354
hooked,1.744743119486011,1.744743119486011
freedom,1.744618783480617,1.744618783480617
touching,1.7424149365370616,1.7424149365370616
terrific,1.7365544362361547,1.7365544362361547
oh,-1.725294961559774,1.725294961559774
embarrassed,-1.7247367177361588,1.7247367177361588
disappointed,-1.7199689395467674,1.7199689395467674
especially,1.7064197750858268,1.7064197750858268
problem,-1.7017777707745807,1.7017777707745807
highly recommended,1.6940823441508885,1.6940823441508885
classic,1.693658599206888,1.693658599206888
intense,1.6894397584426262,1.6894397584426262
skip,-1.6668959733033148,1.6668959733033148
script,-1.6632245668422874,1.6632245668422874
brilliantly,1.6614501155301364,1.6614501155301364
alright,-1.6556457993211195,1.6556457993211195
effective,1.6525706092027628,1.6525706092027628
definitely,1.649542811424007,1.649542811424007
watchable,-1.6493951211208582,1.6493951211208582
trite,-1.6453607615244359,1.6453607615244359
believable,1.6438672632930618,1.6438672632930618
bore,-1.6421453985168997,1.6421453985168997
incoherent,-1.6403578340281795,1.6403578340281795
bit long,1.6400560824178303,1.6400560824178303
impressed,1.6381683807909184,1.6381683807909184
paint,-1.6350795620335152,1.6350795620335152
simple,1.6310869560257577,1.6310869560257577
sensitive,1.6301044898523513,1.6301044898523513
appalling,-1.6293948555236106,1.6293948555236106
beauty,1.626387203439508,1.626387203439508
motions,-1.6231383148945568,1.6231383148945568
chavez,1.6220215857315599,1.6220215857315599
effort,-1.616845148463959,1.616845148463959
surprisingly good,1.6150475273693405,1.6150475273693405
delightful,1.6131451427577974,1.6131451427577974
