token,coefficient,absolute_coefficient
worst,-4.951724757641459,4.951724757641459
awful,-4.242988003162521,4.242988003162521
waste,-3.7337136452152553,3.7337136452152553
bad,-3.7066836797410474,3.7066836797410474
boring,-3.499844046582184,3.499844046582184
disappointment,-3.458289490928857,3.458289490928857
terrible,-3.193783990038712,3.193783990038712
fails,-3.162057959151102,3.162057959151102
forgettable,-3.0005830235335296,3.0005830235335296
mediocre,-2.952451855224803,2.952451855224803
poor,-2.9449800759795535,2.9449800759795535
disappointing,-2.9284989858783024,2.9284989858783024
dull,-2.8988420338907726,2.8988420338907726
poorly,-2.849708098272549,2.849708098272549
horrible,-2.7462871362472923,2.7462871362472923
worse,-2.628482221539773,2.628482221539773
lame,-2.5592356264838747,2.5592356264838747
lacks,-2.5470241751295677,2.5470241751295677
redeeming,-2.4634256317042222,2.4634256317042222
weak,-2.413789447915463,2.413789447915463
save,-2.410634935002539,2.410634935002539
laughable,-2.376666289813888,2.376666289813888
bland,-2.3735456598354974,2.3735456598354974
annoying,-2.36382772368865,2.36382772368865
sorry,-2.285120908657967,2.285120908657967
lousy,-2.2824447312845435,2.2824447312845435
ridiculous,-2.2032180989409675,2.2032180989409675
unfortunately,-2.1913586697655068,2.1913586697655068
mess,-2.1810865322408364,2.1810865322408364
supposed,-2.1665983506989956,2.1665983506989956
