token,coefficient,absolute_coefficient
excellent,3.5431059309880855,3.5431059309880855
great,3.4546824282464486,3.4546824282464486
perfect,3.3100426829538496,3.3100426829538496
best,2.9009542047577286,2.9009542047577286
amazing,2.574699137654006,2.574699137654006
refreshing,2.5439325631794927,2.5439325631794927
brilliant,2.524410834370247,2.524410834370247
wonderful,2.4866604676526505,2.4866604676526505
enjoyable,2.4705183501401224,2.4705183501401224
favorite,2.403043553025826,2.403043553025826
today,2.3929646497945054,2.3929646497945054
loved,2.266349619873554,2.266349619873554
hilarious,2.2449447854177325,2.2449447854177325
funniest,2.2440399511192255,2.2440399511192255
gem,2.241026123818332,2.241026123818332
fun,2.221664988893328,2.221664988893328
superb,2.2005583425991624,2.2005583425991624
enjoyed,2.166769073412819,2.166769073412819
wonderfully,2.137651965525886,2.137651965525886
underrated,2.118351052559197,2.118351052559197
entertaining,2.074115337637717,2.074115337637717
subtle,2.0658308195798014,2.0658308195798014
surprised,2.0054057577192164,2.0054057577192164
perfectly,2.0017281857947054,2.0017281857947054
fantastic,1.9778349570552345,1.9778349570552345
incredible,1.9709342883684988,1.9709342883684988
flawless,1.9367095805142245,1.9367095805142245
rare,1.9047709692536419,1.9047709692536419
beautifully,1.9036248958257125,1.9036248958257125
strong,1.8764598543328774,1.8764598543328774
